CO,NO2,Ozone,PM10,PM25,Datetime,Lat,Lon
180.24,0.03,34.69,1.19,0.5,"30/08/2023,20:47:37",-0.0208,138.354
223.64,0.0,24.68,23.04,12.09,"30/08/2023,20:47:38",-0.0617,-121.5198
180.24,0.01,5.72,1.05,0.5,"30/08/2023,20:46:59",-0.1872,169.4352
233.65,0.01,38.62,15.49,6.22,"30/08/2023,20:47:50",-0.2793,-85.5881
188.59,0.02,56.51,12.52,2.68,"30/08/2023,20:48:19",-0.42,-26.4497
500.68,0.03,40.05,13.88,3.17,"30/08/2023,20:47:13",-0.5434,-45.9622
190.26,0.02,54.36,13.61,2.96,"30/08/2023,20:48:35",-0.6065,-26.6152
337.12,0.04,42.2,16.59,4.4,"30/08/2023,20:48:20",-0.659,-41.1426
188.59,0.0,37.91,0.75,0.5,"30/08/2023,20:47:51",-1.5178,156.4201
337.12,0.03,12.34,1.53,1.5,"30/08/2023,20:48:30",-10.0804,-52.2493
213.62,0.22,62.23,14.65,3.55,"30/08/2023,20:47:18",-10.3294,138.2572
151.87,0.0,37.55,9.34,2.0,"30/08/2023,20:47:44",-10.3942,174.2481
208.62,0.06,55.79,10.34,3.12,"30/08/2023,20:48:14",-11.4518,136.0746
188.59,0.06,61.51,8.5,2.24,"30/08/2023,20:47:45",-11.9867,155.6927
161.89,0.6,97.28,31.71,16.61,"30/08/2023,20:47:03",-12.2501,-76.2999
168.56,0.01,13.23,1.48,0.5,"30/08/2023,20:47:46",-12.3829,170.0531
317.1,2.49,75.82,15.22,12.43,"30/08/2023,20:47:51",-12.543,15.8386
250.34,0.12,52.93,15.97,9.05,"30/08/2023,20:47:15",-13.0504,117.9892
250.34,0.2,45.78,11.21,7.5,"30/08/2023,20:47:58",-13.4286,119.6331
310.42,0.96,68.67,13.77,12.62,"30/08/2023,20:48:41",-13.4519,17.3511
193.6,0.01,43.99,9.73,2.3,"30/08/2023,20:47:08",-13.6063,-31.2135
257.02,0.06,43.63,11.4,8.17,"30/08/2023,20:47:11",-14.0492,121.9212
188.59,0.03,28.25,3.96,2.93,"30/08/2023,20:47:39",-14.0667,-151.1955
198.6,0.01,54.36,28.78,5.62,"30/08/2023,20:48:40",-14.2203,-84.4726
201.94,0.05,71.53,6.22,1.3,"30/08/2023,20:47:40",-14.9722,86.7322
198.6,0.05,45.78,8.43,5.14,"30/08/2023,20:47:19",-15.3197,63.583
236.99,0.16,62.23,30.79,13.46,"30/08/2023,20:48:23",-16.6274,107.1709
427.25,0.11,23.96,1.51,1.49,"30/08/2023,20:47:20",-16.6827,-52.0286
200.27,0.07,66.52,2.75,0.73,"30/08/2023,20:47:27",-16.8481,91.858
547.41,0.14,25.39,17.22,17.07,"30/08/2023,20:48:13",-17.4682,-59.23
188.59,0.03,51.5,1.73,1.42,"30/08/2023,20:47:42",-18.0196,166.4127
236.99,0.24,55.79,30.37,10.76,"30/08/2023,20:47:25",-18.2359,115.7995
280.38,0.18,50.78,119.64,46.03,"30/08/2023,20:46:58",-18.237,11.0951
203.61,0.74,37.55,2.44,0.91,"30/08/2023,20:47:43",-18.4062,32.3292
195.27,0.08,65.8,5.7,1.85,"30/08/2023,20:48:40",-18.957,154.881
188.59,0.14,57.22,3.43,1.68,"30/08/2023,20:48:07",-19.2059,153.3164
196.93,0.07,66.52,11.0,2.32,"30/08/2023,20:47:47",-19.6032,-169.0332
191.93,0.02,71.53,9.47,1.84,"30/08/2023,20:48:29",-19.7043,-109.4589
208.62,0.02,43.63,8.61,3.36,"30/08/2023,20:48:37",-19.9596,75.2959
198.6,0.06,52.93,13.57,3.01,"30/08/2023,20:47:09",-2.4875,-32.7149
191.93,0.02,38.27,37.19,8.93,"30/08/2023,20:48:27",-20.0949,124.5263
233.65,0.02,36.48,2.62,1.34,"30/08/2023,20:47:46",-20.6495,-37.4393
201.94,0.01,72.96,13.49,4.98,"30/08/2023,20:48:05",-21.1,-101.0876
433.92,0.17,36.48,8.52,8.32,"30/08/2023,20:47:24",-21.3846,-58.854
200.27,0.04,55.08,1.69,0.5,"30/08/2023,20:47:12",-21.7084,98.3964
198.6,0.25,40.05,1.47,0.74,"30/08/2023,20:47:05",-22.5227,26.2551
191.93,0.2,37.19,2.05,1.03,"30/08/2023,20:48:31",-23.4523,149.2673
208.62,0.02,55.79,5.1,2.7,"30/08/2023,20:47:30",-23.9434,82.9269
226.97,0.38,67.95,35.68,9.18,"30/08/2023,20:47:45",-24.1998,10.2305
198.6,0.04,62.23,8.82,2.06,"30/08/2023,20:47:50",-24.7875,51.341
191.93,0.05,57.22,13.98,2.6,"30/08/2023,20:47:46",-25.7419,126.7068
210.29,0.05,59.37,7.87,1.73,"30/08/2023,20:47:38",-26.1541,179.5352
370.5,0.14,88.69,169.5,43.75,"30/08/2023,20:47:03",-26.7584,16.9671
211.95,0.03,53.64,6.35,2.32,"30/08/2023,20:47:28",-27.2409,90.926
208.62,0.03,60.08,13.36,3.11,"30/08/2023,20:47:23",-27.5944,-142.0834
186.92,0.47,83.69,23.71,15.53,"30/08/2023,20:48:36",-28.6959,-70.206
216.96,0.07,72.24,5.48,1.15,"30/08/2023,20:48:04",-28.7999,167.5161
208.62,0.02,82.25,5.25,1.22,"30/08/2023,20:48:02",-29.0053,-97.4719
195.27,0.05,53.64,10.01,2.31,"30/08/2023,20:48:37",-29.3862,40.0316
190.26,0.06,55.08,11.29,2.19,"30/08/2023,20:48:09",-29.8119,33.2164
273.71,1.99,56.51,19.75,14.33,"30/08/2023,20:48:36",-29.9162,25.1115
173.57,0.06,23.25,4.85,1.95,"30/08/2023,20:47:04",-3.5435,126.753
210.29,0.04,63.66,3.03,0.99,"30/08/2023,20:48:19",-30.1845,80.6536
211.95,0.03,70.81,4.18,0.92,"30/08/2023,20:47:54",-31.2124,86.1954
213.62,0.04,60.08,7.02,1.78,"30/08/2023,20:47:24",-31.58,4.2015
340.46,0.7,89.41,21.37,19.43,"30/08/2023,20:47:21",-31.919,-65.6024
201.94,0.02,60.8,9.85,3.48,"30/08/2023,20:48:34",-32.2738,-124.9249
211.95,0.04,60.8,5.47,1.27,"30/08/2023,20:47:29",-32.5836,-30.8865
220.3,0.03,62.94,2.9,0.65,"30/08/2023,20:47:53",-33.3366,-17.7447
206.95,0.02,60.8,10.0,4.12,"30/08/2023,20:47:59",-33.3912,-132.5206
213.62,0.14,60.8,1.46,0.71,"30/08/2023,20:47:12",-33.7092,170.7638
257.02,0.24,77.25,19.87,11.12,"30/08/2023,20:48:12",-33.7255,-66.7269
213.62,0.03,62.94,2.54,0.58,"30/08/2023,20:48:14",-33.9742,-25.225
213.62,0.03,61.51,4.51,1.33,"30/08/2023,20:47:51",-34.206,55.0038
213.62,0.02,70.1,10.05,2.36,"30/08/2023,20:48:07",-34.2131,-166.0488
213.62,0.04,63.66,6.46,1.55,"30/08/2023,20:48:32",-34.8659,87.1311
188.59,0.03,53.64,4.78,1.45,"30/08/2023,20:48:36",-35.0632,40.4746
226.97,0.81,31.47,2.07,1.39,"30/08/2023,20:48:23",-35.1245,144.4938
216.96,0.03,69.38,5.38,1.1,"30/08/2023,20:48:29",-35.9353,61.2548
213.62,0.15,60.08,0.89,0.5,"30/08/2023,20:48:27",-36.5561,-63.8184
220.3,0.03,73.67,2.79,0.67,"30/08/2023,20:47:10",-36.8293,122.4499
211.95,0.01,60.8,8.57,4.91,"30/08/2023,20:47:07",-37.0196,-125.7322
211.95,0.02,65.09,1.56,0.5,"30/08/2023,20:47:56",-37.1418,99.6547
220.3,0.02,64.37,2.37,0.61,"30/08/2023,20:47:26",-37.959,-6.2449
216.96,0.0,65.8,14.2,4.18,"30/08/2023,20:47:15",-38.4906,-162.0486
216.96,0.01,54.36,1.34,0.5,"30/08/2023,20:47:04",-38.7822,-150.0114
220.3,0.01,62.23,7.57,2.15,"30/08/2023,20:47:41",-38.803,-76.211
216.96,0.01,72.24,13.97,2.67,"30/08/2023,20:48:24",-38.9003,-163.6345
216.96,0.01,57.94,8.02,2.43,"30/08/2023,20:48:16",-39.2298,-75.1068
208.62,0.04,77.25,0.88,0.5,"30/08/2023,20:47:09",-39.4936,13.5975
160.22,0.02,35.41,12.19,2.84,"30/08/2023,20:47:39",-4.5243,-154.187
158.55,1.52,6.88,2.13,2.08,"30/08/2023,20:47:16",-4.9591,139.2213
216.96,0.05,55.08,2.5,0.7,"30/08/2023,20:48:28",-40.2,164.715
216.96,0.02,67.23,9.3,2.18,"30/08/2023,20:47:33",-40.5158,-86.8551
213.62,0.03,60.08,5.31,2.19,"30/08/2023,20:48:45",-40.5949,-42.0653
210.29,0.02,63.66,2.3,0.64,"30/08/2023,20:47:56",-40.9129,-140.0767
223.64,0.01,55.08,5.05,1.84,"30/08/2023,20:48:13",-41.6491,-73.9339
216.96,0.02,67.23,3.16,1.57,"30/08/2023,20:48:03",-42.1422,-90.1472
213.62,0.02,63.66,2.57,1.05,"30/08/2023,20:48:18",-42.9509,-178.2479
220.3,0.03,72.96,1.01,0.5,"30/08/2023,20:48:38",-43.0758,21.8477
220.3,0.02,61.51,5.8,1.89,"30/08/2023,20:47:16",-43.178,105.0669
206.95,0.02,53.64,9.95,5.76,"30/08/2023,20:48:02",-43.3232,44.2959
211.95,0.03,72.24,2.4,0.67,"30/08/2023,20:48:29",-43.801,167.6538
213.62,0.01,56.51,6.31,1.53,"30/08/2023,20:48:45",-44.9977,94.1172
210.29,0.01,67.23,7.4,3.88,"30/08/2023,20:48:06",-45.4635,-100.126
216.96,0.02,57.22,10.8,3.33,"30/08/2023,20:47:20",-45.6912,107.0001
211.95,0.01,58.65,5.08,2.08,"30/08/2023,20:48:27",-46.3767,-142.4507
213.62,0.02,66.52,6.21,1.73,"30/08/2023,20:48:00",-46.6357,153.3297
220.3,0.01,67.95,5.65,1.4,"30/08/2023,20:47:27",-47.2543,-88.2555
216.96,0.02,70.1,3.77,1.09,"30/08/2023,20:47:13",-47.7018,-171.6839
220.3,0.07,49.35,1.5,0.5,"30/08/2023,20:47:31",-48.3317,-65.4006
211.95,0.01,55.08,3.02,2.3,"30/08/2023,20:47:32",-48.4645,148.5961
210.29,0.02,65.09,2.16,0.79,"30/08/2023,20:47:17",-48.4663,-154.2221
213.62,0.01,60.8,4.25,2.07,"30/08/2023,20:47:43",-48.9784,65.6729
220.3,0.01,65.8,2.2,0.58,"30/08/2023,20:47:59",-49.2942,-94.5529
216.96,0.02,59.37,2.53,1.29,"30/08/2023,20:47:22",-49.3287,-169.0958
216.96,0.06,55.08,8.71,3.36,"30/08/2023,20:47:54",-49.8634,-46.0834
186.92,0.03,47.21,9.63,3.97,"30/08/2023,20:48:27",-5.0324,85.0668
183.58,0.01,44.35,23.61,9.17,"30/08/2023,20:47:30",-5.1503,-119.0263
181.91,0.01,19.31,7.75,3.73,"30/08/2023,20:47:57",-5.1976,-163.1061
216.96,0.03,37.55,17.11,3.95,"30/08/2023,20:47:48",-5.4086,92.0028
190.26,0.03,47.21,4.23,2.37,"30/08/2023,20:48:32",-5.5664,70.6167
303.75,0.01,4.25,0.51,0.5,"30/08/2023,20:47:37",-5.5907,-77.7771
163.56,0.02,44.7,9.43,2.9,"30/08/2023,20:48:39",-5.7849,-144.5268
230.31,0.01,53.64,4.94,1.09,"30/08/2023,20:47:44",-50.3921,-29.6596
220.3,0.05,57.94,8.72,3.73,"30/08/2023,20:48:38",-50.9122,-49.4344
216.96,0.01,61.51,17.92,4.3,"30/08/2023,20:48:17",-50.912,56.0474
208.62,0.01,56.51,3.56,1.26,"30/08/2023,20:47:08",-51.2395,156.2262
226.97,0.01,55.08,1.03,0.5,"30/08/2023,20:48:30",-51.4552,3.5254
220.3,0.0,54.36,3.4,2.4,"30/08/2023,20:48:07",-52.0543,-11.6303
216.96,0.01,55.08,6.38,1.72,"30/08/2023,20:48:40",-52.0786,128.0703
220.3,0.0,70.1,5.22,1.15,"30/08/2023,20:46:59",-52.844,-131.9683
216.96,0.0,65.8,7.75,1.34,"30/08/2023,20:47:00",-53.0165,-137.9383
226.97,0.01,55.08,6.1,1.67,"30/08/2023,20:48:25",-53.177,30.9092
226.97,0.01,48.64,1.1,0.52,"30/08/2023,20:47:23",-54.7133,17.7201
220.3,0.0,59.37,2.35,0.5,"30/08/2023,20:48:38",-54.8184,73.8318
216.96,0.01,52.93,2.98,0.57,"30/08/2023,20:47:39",-54.8448,130.4764
223.64,0.0,59.37,4.15,0.95,"30/08/2023,20:47:42",-55.0668,-138.9562
220.3,0.0,60.08,1.34,0.5,"30/08/2023,20:48:35",-55.0981,71.5653
230.31,0.01,47.92,3.41,1.14,"30/08/2023,20:47:14",-55.2707,24.6503
226.97,0.0,62.94,3.87,0.69,"30/08/2023,20:47:55",-55.2935,-109.501
220.3,0.0,60.08,1.94,0.5,"30/08/2023,20:48:02",-55.3184,73.272
230.31,0.0,56.51,1.4,0.5,"30/08/2023,20:47:45",-56.0202,85.5379
230.31,0.01,52.21,1.01,0.5,"30/08/2023,20:48:39",-57.2683,-39.8225
216.96,0.01,50.07,2.56,0.64,"30/08/2023,20:47:15",-57.5185,141.5293
223.64,0.01,60.08,0.86,0.5,"30/08/2023,20:48:03",-57.8916,-149.3788
230.31,0.0,55.08,1.5,0.5,"30/08/2023,20:47:25",-58.7145,92.3269
223.64,0.01,60.08,0.68,0.5,"30/08/2023,20:47:26",-58.7474,45.7693
220.3,0.01,50.07,0.88,0.5,"30/08/2023,20:47:32",-59.0605,140.4211
226.97,0.0,58.65,1.05,0.5,"30/08/2023,20:48:05",-59.2398,36.4573
236.99,0.0,59.37,2.01,0.55,"30/08/2023,20:47:25",-59.8273,-39.8617
168.56,0.01,9.39,0.98,0.56,"30/08/2023,20:48:44",-6.2529,166.0497
158.55,0.01,11.62,1.17,0.7,"30/08/2023,20:47:48",-6.586,169.1973
233.65,0.0,56.51,1.02,0.5,"30/08/2023,20:48:17",-61.3315,39.8089
240.33,0.0,60.08,1.35,0.5,"30/08/2023,20:48:31",-61.851,-45.8109
220.3,0.01,58.65,1.71,0.5,"30/08/2023,20:48:15",-62.0059,149.8415
243.66,0.0,53.64,1.05,0.7,"30/08/2023,20:47:33",-62.7019,20.4048
240.33,0.0,55.08,1.09,0.58,"30/08/2023,20:48:20",-62.7982,88.5283
223.64,0.0,56.51,2.99,1.04,"30/08/2023,20:47:06",-63.3025,-128.5089
243.66,0.0,55.08,0.62,0.5,"30/08/2023,20:48:01",-63.7555,86.3364
226.97,0.01,43.27,2.54,2.3,"30/08/2023,20:48:33",-63.768,-140.1698
236.99,0.0,58.65,0.8,0.5,"30/08/2023,20:48:05",-63.901,-39.6919
230.31,0.0,54.36,1.83,0.59,"30/08/2023,20:48:00",-64.0144,141.0108
230.31,0.0,57.22,1.48,0.5,"30/08/2023,20:47:49",-64.2368,153.6453
240.33,0.0,59.37,1.92,0.71,"30/08/2023,20:48:23",-64.7409,-47.9254
236.99,0.0,59.37,1.0,0.5,"30/08/2023,20:48:45",-65.5852,62.8051
247.0,0.0,60.8,1.9,0.76,"30/08/2023,20:47:49",-66.5073,-57.5116
243.66,0.0,57.22,0.51,0.5,"30/08/2023,20:47:04",-66.614,57.1715
247.0,0.0,40.05,0.64,0.63,"30/08/2023,20:47:18",-66.7736,-6.628
223.64,0.0,56.51,0.5,0.5,"30/08/2023,20:48:32",-67.2314,123.3494
206.95,0.0,57.22,0.5,0.5,"30/08/2023,20:47:01",-67.3903,91.4544
240.33,0.0,56.51,0.5,0.5,"30/08/2023,20:47:25",-67.6566,144.6227
200.27,0.0,57.22,0.5,0.5,"30/08/2023,20:47:03",-67.7054,96.79
196.93,0.0,50.78,0.5,0.5,"30/08/2023,20:47:34",-67.8263,137.8986
200.27,0.0,55.79,0.5,0.5,"30/08/2023,20:46:59",-68.1064,90.596
253.68,0.0,50.78,0.54,0.5,"30/08/2023,20:48:07",-69.4368,-85.7858
243.66,0.0,48.64,0.57,0.5,"30/08/2023,20:47:28",-69.7187,0.3807
165.22,0.02,12.88,4.59,2.35,"30/08/2023,20:47:09",-7.5552,179.4287
211.95,0.0,45.78,0.5,0.5,"30/08/2023,20:47:31",-70.0992,152.8244
243.66,0.0,40.77,0.51,0.5,"30/08/2023,20:47:24",-70.2592,-61.5232
250.34,0.0,60.8,0.5,0.5,"30/08/2023,20:47:17",-70.4084,20.6361
247.0,0.0,52.21,0.96,0.86,"30/08/2023,20:48:24",-70.434,-19.1625
243.66,0.0,50.07,0.75,0.67,"30/08/2023,20:47:53",-70.5564,-18.0403
257.02,0.0,48.64,0.51,0.5,"30/08/2023,20:48:10",-70.6406,-86.7316
186.92,0.0,47.92,0.5,0.5,"30/08/2023,20:47:30",-70.6733,135.154
186.92,0.0,54.36,0.5,0.5,"30/08/2023,20:48:03",-70.8764,81.2607
247.0,0.0,41.49,0.5,0.5,"30/08/2023,20:47:17",-71.0749,-0.17
220.3,0.0,55.79,0.5,0.5,"30/08/2023,20:48:15",-71.7418,20.2905
240.33,0.0,51.5,0.71,0.56,"30/08/2023,20:47:52",-71.7459,-142.2873
223.64,0.01,53.64,2.72,1.49,"30/08/2023,20:48:08",-72.127,-160.4864
250.34,0.0,52.21,0.67,0.56,"30/08/2023,20:48:44",-72.7033,-26.4928
230.31,0.0,62.23,0.5,0.5,"30/08/2023,20:47:52",-73.5574,-85.4702
267.03,0.0,52.93,0.54,0.5,"30/08/2023,20:47:38",-74.2027,-47.1981
213.62,0.0,57.22,0.5,0.5,"30/08/2023,20:48:41",-74.3449,-93.2928
260.35,0.0,45.06,0.53,0.5,"30/08/2023,20:47:47",-74.5868,-19.8274
226.97,0.0,60.08,0.51,0.5,"30/08/2023,20:48:03",-75.4498,-139.0399
211.95,0.0,52.21,0.5,0.5,"30/08/2023,20:47:27",-76.4161,-93.4296
181.91,0.0,39.7,0.5,0.5,"30/08/2023,20:47:20",-76.5759,107.9782
205.28,0.0,41.49,0.5,0.5,"30/08/2023,20:48:21",-77.6101,-95.7705
193.6,0.0,42.2,0.5,0.5,"30/08/2023,20:48:05",-77.8676,142.5514
211.95,0.0,55.08,0.5,0.5,"30/08/2023,20:47:44",-77.8929,-30.2523
253.68,0.0,50.07,0.5,0.5,"30/08/2023,20:47:58",-78.2676,-68.0362
195.27,0.0,43.99,0.5,0.5,"30/08/2023,20:47:13",-78.6873,142.6112
195.27,0.0,55.08,0.5,0.5,"30/08/2023,20:48:40",-78.6898,-90.0557
173.57,0.0,41.49,0.5,0.5,"30/08/2023,20:47:00",-79.0874,83.3169
178.58,0.0,44.35,0.5,0.5,"30/08/2023,20:47:39",-79.425,11.6534
201.94,0.14,52.21,16.09,3.66,"30/08/2023,20:48:10",-8.1646,128.4753
203.61,0.02,72.24,22.23,5.61,"30/08/2023,20:47:35",-8.3016,-7.227
170.23,0.0,41.84,0.51,0.5,"30/08/2023,20:47:10",-80.1433,44.4354
198.6,0.0,40.77,0.5,0.5,"30/08/2023,20:47:33",-80.1776,148.3576
247.0,0.0,47.92,0.63,0.54,"30/08/2023,20:47:58",-80.3771,-178.3135
181.91,0.0,41.49,0.5,0.5,"30/08/2023,20:48:21",-80.3909,113.1016
243.66,0.0,61.51,0.5,0.5,"30/08/2023,20:47:59",-80.558,-76.1765
213.62,0.0,46.49,0.5,0.5,"30/08/2023,20:48:12",-81.1917,-16.8561
170.23,0.0,41.49,0.51,0.5,"30/08/2023,20:47:37",-81.4978,86.4874
250.34,0.0,52.93,0.59,0.5,"30/08/2023,20:47:50",-81.7448,-179.7313
196.93,0.0,58.65,0.5,0.5,"30/08/2023,20:47:44",-81.9813,154.5651
216.96,0.0,48.64,0.5,0.5,"30/08/2023,20:48:12",-82.8573,-37.0771
216.96,0.0,48.64,0.5,0.5,"30/08/2023,20:48:22",-83.0619,-33.2987
176.91,0.0,39.34,0.53,0.5,"30/08/2023,20:47:03",-83.2034,85.2512
236.99,0.0,54.36,0.5,0.5,"30/08/2023,20:47:35",-83.3573,-144.2028
173.57,0.0,45.06,0.51,0.5,"30/08/2023,20:47:29",-83.8339,61.5151
178.58,0.0,45.06,0.5,0.5,"30/08/2023,20:48:06",-83.8551,41.8115
247.0,0.0,66.52,0.52,0.5,"30/08/2023,20:47:50",-84.5451,-172.5606
175.24,0.0,44.7,0.51,0.5,"30/08/2023,20:47:26",-84.7366,62.1227
195.27,0.0,47.92,0.5,0.5,"30/08/2023,20:47:33",-85.1603,22.6974
210.29,0.0,60.08,0.5,0.5,"30/08/2023,20:48:11",-85.8279,-150.666
195.27,0.0,55.79,0.51,0.5,"30/08/2023,20:47:48",-86.0244,-98.7231
205.28,0.0,51.5,0.5,0.5,"30/08/2023,20:48:22",-86.506,-72.3762
183.58,0.0,36.84,0.5,0.5,"30/08/2023,20:48:15",-86.5203,110.6591
180.24,0.0,46.49,0.5,0.5,"30/08/2023,20:47:13",-86.6524,171.8228
186.92,0.0,42.92,0.5,0.5,"30/08/2023,20:47:12",-87.296,47.3606
188.59,0.0,41.49,0.51,0.5,"30/08/2023,20:48:20",-87.6787,63.5778
183.58,0.0,39.34,0.5,0.5,"30/08/2023,20:48:43",-88.0692,119.9466
186.92,0.0,41.49,0.51,0.5,"30/08/2023,20:48:11",-88.5628,68.6458
186.92,0.0,43.27,0.5,0.5,"30/08/2023,20:48:39",-89.1334,67.4841
190.26,0.0,43.63,0.5,0.5,"30/08/2023,20:47:53",-89.4623,94.4171
191.93,0.0,41.84,0.5,0.5,"30/08/2023,20:47:22",-89.6914,-144.1173
250.34,0.01,1.39,1.03,0.98,"30/08/2023,20:47:34",0.4872,15.6132
206.95,1.5,28.61,6.57,3.72,"30/08/2023,20:48:28",0.5825,121.204
211.95,0.02,33.98,15.37,3.92,"30/08/2023,20:48:09",0.7945,-98.5602
181.91,0.02,22.53,3.16,2.22,"30/08/2023,20:48:17",0.8514,-162.4499
216.96,0.23,50.78,2.53,1.84,"30/08/2023,20:48:26",0.9679,38.6239
198.6,0.01,42.2,9.78,3.57,"30/08/2023,20:47:08",1.4913,-17.7325
181.91,0.03,42.92,14.33,4.3,"30/08/2023,20:47:58",1.5647,-23.7045
190.26,0.03,14.13,1.01,0.5,"30/08/2023,20:47:23",1.6632,161.5779
226.97,0.08,4.25,0.63,0.5,"30/08/2023,20:47:08",10.2589,24.5157
178.58,0.19,28.25,8.32,5.15,"30/08/2023,20:47:52",10.6375,71.4528
198.6,0.02,17.52,5.26,1.34,"30/08/2023,20:47:24",12.0117,-119.3431
