,AQI_Value,CO_AQI_Value,Ozone_AQI_Value,NO2_AQI_Value,PM2_5_AQI_Value,Lat,Lng,PM10
0,124,na,22,na,145,[34.00585, 71.53775],60
1,124,na,22,na,145,[34.00585, 71.53775],60
2,124,na,22,na,145,[34.00585, 71.53775],60
3,124,na,22,na,145,[34.00585, 71.53775],60
4,124,na,22,na,145,[34.00585, 71.53775],60
5,124,na,22,na,145,[34.00585, 71.53775],60
6,124,na,22,na,145,[34.00585, 71.53775],60
7,124,na,22,na,145,[34.00585, 71.53775],60
8,38,na,33,na,29,[41.5358, 20.6989],8
9,38,na,33,na,29,[41.5358, 20.6989],8
10,38,na,33,na,29,[41.5358, 20.6989],8
11,38,na,33,na,29,[41.5358, 20.6989],8
12,34,na,26,na,26,[48.7759, 2.37577],8
13,38,na,33,na,29,[41.5358, 20.6989],8
14,38,na,33,na,29,[41.5358, 20.6989],8
15,38,na,33,na,29,[41.5358, 20.6989],8
16,38,na,33,na,29,[41.5358, 20.6989],8
17,38,na,33,na,29,[41.5358, 20.6989],8
18,38,na,33,na,29,[41.5358, 20.6989],8
19,38,na,33,na,29,[41.5358, 20.6989],8
20,38,na,33,na,29,[41.5358, 20.6989],8
21,38,na,33,na,29,[41.5358, 20.6989],8
22,38,na,33,na,29,[41.5358, 20.6989],8
23,63,na,26,na,55,[36.7558, 3.039114],22
24,63,na,26,na,55,[36.7558, 3.039114],22
25,63,na,26,na,55,[36.7558, 3.039114],22
26,63,na,26,na,55,[36.7558, 3.039114],22
27,63,na,26,na,55,[36.7558, 3.039114],22
28,63,na,26,na,55,[36.7558, 3.039114],22
29,92,na,6,na,68,[-1.936231, 30.077951],27
30,3,na,2,na,53,[-34.657988, -58.342538],19
31,3,na,2,na,53,[-34.657988, -58.342538],19
32,3,na,2,na,53,[-34.657988, -58.342538],19
33,3,na,2,na,53,[-34.657988, -58.342538],19
34,19,na,1,na,42,[-34.6775885, -58.701767],15
35,3,na,2,na,53,[-34.657988, -58.342538],19
36,3,na,2,na,53,[-34.657988, -58.342538],19
37,3,na,2,na,53,[-34.657988, -58.342538],19
38,3,na,2,na,53,[-34.657988, -58.342538],19
39,3,na,2,na,53,[-34.657988, -58.342538],19
40,3,na,2,na,53,[-34.657988, -58.342538],19
41,3,na,2,na,53,[-34.657988, -58.342538],19
42,3,na,2,na,53,[-34.657988, -58.342538],19
43,3,na,2,na,53,[-34.657988, -58.342538],19
44,3,na,2,na,53,[-34.657988, -58.342538],19
45,3,na,2,na,53,[-34.657988, -58.342538],19
46,3,na,2,na,53,[-34.657988, -58.342538],19
47,3,na,2,na,53,[-34.657988, -58.342538],19
48,3,na,2,na,53,[-34.657988, -58.342538],19
49,3,na,2,na,53,[-34.657988, -58.342538],19
50,3,na,2,na,53,[-34.657988, -58.342538],19
51,56,na,30,na,31,[39.795454, 44.625607],13
52,56,na,30,na,31,[39.795454, 44.625607],13
53,56,na,30,na,31,[39.795454, 44.625607],13
54,56,na,30,na,31,[39.795454, 44.625607],13
55,56,na,30,na,31,[39.795454, 44.625607],13
56,56,na,30,na,31,[39.795454, 44.625607],13
57,56,na,30,na,31,[39.795454, 44.625607],13
58,56,na,30,na,31,[39.795454, 44.625607],13
59,56,na,30,na,31,[39.795454, 44.625607],13
60,56,na,30,na,31,[39.795454, 44.625607],13
61,56,na,30,na,31,[39.795454, 44.625607],13
62,56,na,30,na,31,[39.795454, 44.625607],13
63,56,na,30,na,31,[39.795454, 44.625607],13
64,56,na,30,na,31,[39.795454, 44.625607],13
65,56,na,30,na,31,[39.795454, 44.625607],13
66,56,na,30,na,31,[39.795454, 44.625607],13
67,56,na,30,na,31,[39.795454, 44.625607],13
68,56,na,30,na,31,[39.795454, 44.625607],13
69,56,na,30,na,31,[39.795454, 44.625607],13
70,56,na,30,na,31,[39.795454, 44.625607],13
71,56,na,30,na,31,[39.795454, 44.625607],13
72,56,na,30,na,31,[39.795454, 44.625607],13
73,60,na,7,na,3,[-35.285307, 149.131579],1
74,60,na,7,na,3,[-35.285307, 149.131579],1
75,28,na,10,na,32,[-27.3292, 153.0478],10
76,60,na,7,na,3,[-35.285307, 149.131579],1
77,60,na,7,na,3,[-35.285307, 149.131579],1
78,60,4,7,4.2,3,[-35.220606, 149.043539],1
79,60,na,7,na,3,[-35.285307, 149.131579],1
80,60,4,7,4.2,3,[-35.220606, 149.043539],1
81,60,na,7,na,3,[-35.285307, 149.131579],1
82,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
83,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
84,42,na,36,na,48,[48.21911, 16.349818],14
85,42,na,36,na,48,[48.21911, 16.349818],14
86,50,na,36,na,48,[48.30822222, 16.3279444],14
87,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
88,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
89,42,na,36,na,48,[48.21911, 16.349818],14
90,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
91,50,0.1,36,4.2,48,[48.20306, 16.43455],14
92,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
93,50,0.1,36,4.2,48,[48.20306, 16.43455],14
94,38,na,36,na,48,[48.261086, 16.396954],14
95,38,0.1,36,11.9,48,[48.2167394444444, 16.3809180555556],14
96,42,na,36,na,48,[48.21911, 16.349818],14
97,42,na,36,na,47,[48.1743530555556, 16.3614172222222],13
98,42,na,36,na,48,[48.21911, 16.349818],14
99,50,0.1,36,4.2,48,[48.20306, 16.43455],14
100,42,na,36,na,47,[48.1743530555556, 16.3614172222222],13
101,68,na,17,na,38,[40.386993, 49.842945],21
102,68,na,17,na,38,[40.386993, 49.842945],21
103,68,na,17,na,38,[40.386993, 49.842945],21
104,68,na,17,na,38,[40.386993, 49.842945],21
105,68,na,17,na,38,[40.386993, 49.842945],21
106,68,na,17,na,38,[40.386993, 49.842945],21
107,68,na,17,na,38,[40.386993, 49.842945],21
108,68,na,17,na,38,[40.386993, 49.842945],21
109,68,na,17,na,38,[40.386993, 49.842945],21
110,68,na,17,na,38,[40.386993, 49.842945],21
111,63,na,26,na,131,[26.204697, 50.57083],101
112,63,na,26,na,131,[26.204697, 50.57083],101
113,132,na,10,na,80,[23.796373, 90.424614],38
114,132,na,10,na,80,[23.796373, 90.424614],38
115,132,na,10,na,80,[23.796373, 90.424614],38
116,132,na,10,na,80,[23.796373, 90.424614],38
117,132,na,10,na,80,[23.796373, 90.424614],38
118,132,na,10,na,80,[23.796373, 90.424614],38
119,132,na,10,na,80,[23.796373, 90.424614],38
120,132,na,10,na,80,[23.796373, 90.424614],38
121,132,na,10,na,80,[23.796373, 90.424614],38
122,132,na,10,na,80,[23.796373, 90.424614],38
123,132,na,10,na,80,[23.796373, 90.424614],38
124,132,na,10,na,80,[23.796373, 90.424614],38
125,132,na,10,na,80,[23.796373, 90.424614],38
126,132,na,10,na,80,[23.796373, 90.424614],38
127,132,na,10,na,80,[23.796373, 90.424614],38
128,132,na,10,na,80,[23.796373, 90.424614],38
129,132,na,10,na,80,[23.796373, 90.424614],38
130,132,na,10,na,80,[23.796373, 90.424614],38
131,132,na,10,na,80,[23.796373, 90.424614],38
132,132,na,10,na,80,[23.796373, 90.424614],38
133,132,na,10,na,80,[23.796373, 90.424614],38
134,132,na,10,na,80,[23.796373, 90.424614],38
135,132,na,10,na,80,[23.796373, 90.424614],38
136,132,na,10,na,80,[23.796373, 90.424614],38
137,132,na,10,na,80,[23.796373, 90.424614],38
138,132,na,10,na,80,[23.796373, 90.424614],38
139,132,na,10,na,80,[23.796373, 90.424614],38
140,132,na,10,na,80,[23.796373, 90.424614],38
141,132,na,10,na,80,[23.796373, 90.424614],38
142,132,na,10,na,80,[23.796373, 90.424614],38
143,132,na,10,na,80,[23.796373, 90.424614],38
144,132,na,10,na,80,[23.796373, 90.424614],38
145,132,na,10,na,80,[23.796373, 90.424614],38
146,132,na,10,na,80,[23.796373, 90.424614],38
147,132,na,10,na,80,[23.796373, 90.424614],38
148,132,na,10,na,80,[23.796373, 90.424614],38
149,132,na,10,na,80,[23.796373, 90.424614],38
150,132,na,10,na,80,[23.796373, 90.424614],38
151,132,na,10,na,80,[23.796373, 90.424614],38
152,132,na,10,na,80,[23.796373, 90.424614],38
153,132,na,10,na,80,[23.796373, 90.424614],38
154,132,na,10,na,80,[23.796373, 90.424614],38
155,132,na,10,na,80,[23.796373, 90.424614],38
156,132,na,10,na,80,[23.796373, 90.424614],38
157,132,na,10,na,80,[23.796373, 90.424614],38
158,132,na,10,na,80,[23.796373, 90.424614],38
159,132,na,10,na,80,[23.796373, 90.424614],38
160,132,na,10,na,80,[23.796373, 90.424614],38
161,132,na,10,na,80,[23.796373, 90.424614],38
162,132,na,10,na,80,[23.796373, 90.424614],38
163,132,na,10,na,80,[23.796373, 90.424614],38
164,132,na,10,na,80,[23.796373, 90.424614],38
165,132,na,10,na,80,[23.796373, 90.424614],38
166,132,na,10,na,80,[23.796373, 90.424614],38
167,132,na,10,na,80,[23.796373, 90.424614],38
168,132,na,10,na,80,[23.796373, 90.424614],38
169,132,na,10,na,80,[23.796373, 90.424614],38
170,132,na,10,na,80,[23.796373, 90.424614],38
171,132,na,10,na,80,[23.796373, 90.424614],38
172,132,na,10,na,80,[23.796373, 90.424614],38
173,132,na,10,na,80,[23.796373, 90.424614],38
174,132,na,10,na,80,[23.796373, 90.424614],38
175,132,na,10,na,80,[23.796373, 90.424614],38
176,132,na,10,na,80,[23.796373, 90.424614],38
177,132,na,10,na,80,[23.796373, 90.424614],38
178,132,na,10,na,80,[23.796373, 90.424614],38
179,132,na,10,na,80,[23.796373, 90.424614],38
180,132,na,10,na,80,[23.796373, 90.424614],38
181,132,na,10,na,80,[23.796373, 90.424614],38
182,132,na,10,na,80,[23.796373, 90.424614],38
183,132,na,10,na,80,[23.796373, 90.424614],38
184,132,na,10,na,80,[23.796373, 90.424614],38
185,132,na,10,na,80,[23.796373, 90.424614],38
186,132,na,10,na,80,[23.796373, 90.424614],38
187,132,na,10,na,80,[23.796373, 90.424614],38
188,132,na,10,na,80,[23.796373, 90.424614],38
189,132,na,10,na,80,[23.796373, 90.424614],38
190,132,na,10,na,80,[23.796373, 90.424614],38
191,132,na,10,na,80,[23.796373, 90.424614],38
192,132,na,10,na,80,[23.796373, 90.424614],38
193,132,na,10,na,80,[23.796373, 90.424614],38
194,132,na,10,na,80,[23.796373, 90.424614],38
195,132,na,10,na,80,[23.796373, 90.424614],38
196,132,na,10,na,80,[23.796373, 90.424614],38
197,132,na,10,na,80,[23.796373, 90.424614],38
198,132,na,10,na,80,[23.796373, 90.424614],38
199,132,na,10,na,80,[23.796373, 90.424614],38
200,132,na,10,na,80,[23.796373, 90.424614],38
201,132,na,10,na,80,[23.796373, 90.424614],38
202,37,na,6,na,19,[14.468867, -60.927389],10
203,37,na,6,na,19,[14.468867, -60.927389],10
204,37,na,6,na,19,[14.468867, -60.927389],10
205,32,na,28,na,31,[54.7117424, 25.2974345],8
206,32,na,28,na,31,[54.7117424, 25.2974345],8
207,32,na,28,na,31,[54.7117424, 25.2974345],8
208,32,na,28,na,31,[54.7117424, 25.2974345],8
209,32,na,28,na,31,[54.7117424, 25.2974345],8
210,32,na,28,na,31,[54.7117424, 25.2974345],8
211,32,na,28,na,31,[54.7117424, 25.2974345],8
212,32,na,28,na,31,[54.7117424, 25.2974345],8
213,32,na,28,na,31,[54.7117424, 25.2974345],8
214,32,na,28,na,31,[54.7117424, 25.2974345],8
215,1,na,6,na,107,[14.6069387, -90.5169696],43
216,38,na,4,na,113,[6.4404830932617, 3.4068150520325],55
217,57,2.4,37,6,66,[43.864722, 18.419357],21
218,57,2.4,37,6,66,[43.864722, 18.419357],21
219,57,2.4,37,6,66,[43.864722, 18.419357],21
220,105,0.1,36,18.4,66,[44.531944444444, 18.654722222222],22
221,57,2.4,37,6,66,[43.864722, 18.419357],21
222,74,na,10,na,61,[-25.835814, 25.614534],23
223,74,na,10,na,61,[-25.835814, 25.614534],23
224,74,na,10,na,61,[-25.835814, 25.614534],23
225,5,na,5,na,136,[-20.784689284, -49.398277793],51
226,5,na,5,na,136,[-20.784689284, -49.398277793],51
227,17,0.1,36,2.7,47,[42.673888888889, 23.282791666667],13
228,21,na,27,na,34,[42.6483638, 23.4011233],10
229,18,0.1,27,3.2,34,[42.6413301, 23.373074],10
230,32,na,30,na,25,[43.224389, 27.915733],7
231,17,0.1,36,2.7,47,[42.673888888889, 23.282791666667],13
232,18,0.1,27,3.2,34,[42.6413301, 23.373074],10
233,18,0.1,27,3.2,34,[42.6413301, 23.373074],10
234,18,0.1,27,3.2,34,[42.6413301, 23.373074],10
235,25,na,31,na,47,[42.7325, 23.298611],12
236,17,0.1,36,2.7,47,[42.673888888889, 23.282791666667],13
237,25,na,31,na,47,[42.7325, 23.298611],12
238,22,0.1,36,3.6,47,[42.6656601, 23.2702013],13
239,18,0.1,27,3.2,34,[42.6413301, 23.373074],10
240,5,1,7,1,94,[11.327715, 106.10414],29
241,5,1,7,1,94,[11.327715, 106.10414],29
242,42,0.1,30,1.9,31,[50.6325574, 5.5796662],9
243,5,1,7,1,94,[11.327715, 106.10414],29
244,14,2.3,8,8.4,15,[42.3294, -71.0825],5
245,5,1,7,1,94,[11.327715, 106.10414],29
246,5,1,7,1,94,[11.327715, 106.10414],29
247,5,1,7,1,94,[11.327715, 106.10414],29
248,5,1,7,1,94,[11.327715, 106.10414],29
249,5,1,7,1,94,[11.327715, 106.10414],29
250,5,1,7,1,94,[11.327715, 106.10414],29
251,42,na,6,na,6,[45.434333, -75.676],2
252,34,5,6,3.4,6,[45.4215296, -75.6971931],2
253,34,5,6,3.4,6,[45.4215296, -75.6971931],2
254,34,5,6,3.4,6,[45.4215296, -75.6971931],2
255,34,5,6,3.4,6,[45.4215296, -75.6971931],2
256,34,5,6,3.4,6,[45.4215296, -75.6971931],2
257,34,5,6,3.4,6,[45.4215296, -75.6971931],2
258,34,5,6,3.4,6,[45.4215296, -75.6971931],2
259,25,na,3,na,42,[9.0416479110718, 7.4773740768433],13
260,85,9.3,5,26.1,251,[-33.37677352033, -70.523326784061],153
261,119,21.5,2,25.4,246,[-33.464142, -70.660797],142
262,107,25.2,2,33.3,246,[-33.516630362266, -70.588123961971],142
263,119,21.5,2,25.4,246,[-33.464142, -70.660797],142
264,119,21.5,2,25.4,246,[-33.464142, -70.660797],142
265,119,21.5,2,25.4,246,[-33.464142, -70.660797],142
266,119,21.5,2,25.4,246,[-33.464142, -70.660797],142
267,1,0.1,35,3.7,52,[45.4099034, 8.7875429],18
268,21,1.9,2,2.1,10,[4.5725, -74.0836],3
269,17,3.9,2,2.9,10,[4.62529, -74.06724],3
270,21,1.9,2,2.1,10,[4.5725, -74.0836],3
271,25,2.8,2,2.9,10,[4.637735, -74.09486],3
272,17,3.9,2,2.9,10,[4.62529, -74.06724],3
273,18,2.9,1,1.9,13,[4.645228, -74.06152],4
274,18,2.9,1,1.9,13,[4.645228, -74.06152],4
275,17,3.9,2,2.9,10,[4.62529, -74.06724],3
276,57,2.8,2,2.8,8,[4.78374, -74.04417],3
277,17,3.9,2,2.9,10,[4.62529, -74.06724],3
278,20,3,2,2.5,8,[4.70939, -74.03199],3
279,18,2.9,1,1.9,13,[4.645228, -74.06152],4
280,18,2.9,1,1.9,13,[4.645228, -74.06152],4
281,25,2.8,2,2.9,10,[4.637735, -74.09486],3
282,17,3.9,2,2.9,10,[4.62529, -74.06724],3
283,17,3.9,2,2.9,10,[4.62529, -74.06724],3
284,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
285,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
286,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
287,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
288,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
289,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
290,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
291,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
292,94,na,38,na,56,[45.823716666667, 16.035825],19
293,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
294,53,0.1,35,16.6,55,[45.800338888889, 15.974072222222],18
295,52,na,7,na,21,[25.471944444444, -80.482777777778],6
296,52,na,7,na,21,[25.471944444444, -80.482777777778],6
297,52,na,7,na,21,[25.471944444444, -80.482777777778],6
298,52,na,7,na,21,[25.471944444444, -80.482777777778],6
299,52,na,7,na,21,[25.471944444444, -80.482777777778],6
300,52,na,7,na,21,[25.471944444444, -80.482777777778],6
301,52,na,7,na,21,[25.471944444444, -80.482777777778],6
302,56,3.5,37,17.4,31,[35.1520595, 33.3476924],15
303,56,3.5,37,17.4,31,[35.1520595, 33.3476924],15
304,56,3.5,37,17.4,31,[35.1520595, 33.3476924],15
305,92,na,6,na,68,[-1.936231, 30.077951],27
306,92,na,6,na,68,[-1.936231, 30.077951],27
307,26,na,8,na,18,[18.070114, -63.081481],8
308,26,na,8,na,18,[18.070114, -63.081481],8
309,43,na,3,na,24,[-0.107777, -78.497222],8
310,52,na,3,na,13,[-0.214933, -78.403253],5
311,26,4.6,4,4.4,11,[10.4160327, -61.4746778],6
312,40,na,3,na,22,[-0.221393, -78.514005],7
313,40,na,3,na,22,[-0.221393, -78.514005],7
314,43,na,3,na,24,[-0.184719, -78.495986],8
315,39,na,35,na,43,[31.56193, 34.56336],16
316,39,na,35,na,43,[31.56193, 34.56336],16
317,39,na,35,na,43,[31.56193, 34.56336],16
318,39,na,35,na,43,[31.56193, 34.56336],16
319,39,na,35,na,43,[31.56193, 34.56336],16
320,39,na,35,na,43,[31.56193, 34.56336],16
321,39,na,35,na,43,[31.56193, 34.56336],16
322,39,na,35,na,43,[31.56193, 34.56336],16
323,39,na,35,na,43,[31.56193, 34.56336],16
324,39,na,35,na,43,[31.56193, 34.56336],16
325,39,na,35,na,43,[31.56193, 34.56336],16
326,39,na,35,na,43,[31.56193, 34.56336],16
327,39,na,35,na,43,[31.56193, 34.56336],16
328,39,na,35,na,43,[31.56193, 34.56336],16
329,65,na,6,na,64,[13.70630556, -89.20011667],26
330,65,na,6,na,64,[13.70630556, -89.20011667],26
331,65,na,6,na,64,[13.70630556, -89.20011667],26
332,25,na,3,na,42,[9.0416479110718, 7.4773740768433],13
333,53,na,18,na,74,[21.543486, 39.17299],54
334,39,na,28,na,28,[59.414133, 24.649218],8
335,39,na,28,na,28,[59.414133, 24.649218],8
336,43,na,28,na,27,[59.43107, 24.760317],8
337,43,na,28,na,27,[59.43107, 24.760317],8
338,43,na,28,na,27,[59.43107, 24.760317],8
339,43,na,28,na,27,[59.43107, 24.760317],8
340,42,na,27,na,28,[59.447293, 24.715126],8
341,43,na,28,na,27,[59.43107, 24.760317],8
342,43,na,28,na,27,[59.43107, 24.760317],8
343,39,na,28,na,28,[59.414133, 24.649218],8
344,127,na,9,na,290,[9.058498, 38.761642],240
345,127,na,9,na,290,[9.058498, 38.761642],240
346,80,na,9,na,290,[8.996519, 38.725433],240
347,127,na,9,na,290,[9.058498, 38.761642],240
348,80,na,9,na,290,[8.996519, 38.725433],240
349,127,na,9,na,290,[9.058498, 38.761642],240
350,127,na,9,na,290,[9.058498, 38.761642],240
351,80,na,9,na,290,[8.996519, 38.725433],240
352,127,na,9,na,290,[9.058498, 38.761642],240
353,80,na,9,na,290,[8.996519, 38.725433],240
354,127,na,9,na,290,[9.058498, 38.761642],240
355,35,na,24,na,32,[60.1733244, 24.9410248],10
356,30,na,24,na,32,[60.16964, 24.93924],10
357,25,na,25,na,19,[60.22024, 24.81133],7
358,30,na,24,na,32,[60.16964, 24.93924],10
359,40,na,26,na,31,[60.19644, 24.95198],9
360,35,na,24,na,32,[60.1733244, 24.9410248],10
361,35,na,29,na,24,[61.48226, 21.81329],7
362,40,na,26,na,31,[60.19644, 24.95198],9
363,35,na,24,na,32,[60.1733244, 24.9410248],10
364,34,na,27,na,29,[60.22393, 25.10244],9
365,30,na,24,na,32,[60.16964, 24.93924],10
366,38,0.1,26,7,31,[48.8621, 2.34462],9
367,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
368,40,na,27,na,21,[48.11521, -1.673088],7
369,55,na,27,na,23,[48.640929999815, 2.2687200004266],7
370,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
371,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
372,16,na,26,na,31,[48.8303, 2.26972],9
373,30,na,26,na,31,[48.8913, 2.24064],9
374,22,na,32,na,45,[48.588056, 7.729722],14
375,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
376,35,na,26,na,31,[48.9022, 2.3907],9
377,56,na,26,na,31,[48.8686, 2.31166],9
378,56,na,26,na,31,[48.8686, 2.31166],9
379,34,na,26,na,26,[48.7759, 2.37577],8
380,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
381,38,0.1,26,7,31,[48.8621, 2.34462],9
382,56,na,26,na,31,[48.8686, 2.31166],9
383,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
384,1,0.1,35,3.7,52,[45.4099034, 8.7875429],18
385,38,0.1,26,7,31,[48.8621, 2.34462],9
386,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
387,38,0.1,26,7,31,[48.8621, 2.34462],9
388,38,0.1,26,7,31,[48.8621, 2.34462],9
389,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
390,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
391,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
392,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
393,47,na,26,na,31,[48.8733, 2.32957],9
394,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
395,35,na,26,na,31,[48.9022, 2.3907],9
396,45,na,26,na,31,[48.9251, 2.35654],9
397,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
398,33,na,26,na,31,[48.8917, 2.34563],9
399,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
400,40,na,27,na,21,[48.11521, -1.673088],7
401,29,2.3,25,28.4,52,[51.52253, -0.154611],15
402,16,na,26,na,31,[48.8303, 2.26972],9
403,38,0.1,26,7,31,[48.8621, 2.34462],9
404,55,na,27,na,23,[48.640929999815, 2.2687200004266],7
405,44,na,28,na,30,[44.800461732357, -0.589397901038],9
406,55,na,27,na,23,[48.640929999815, 2.2687200004266],7
407,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
408,38,0.1,26,7,31,[48.8621, 2.34462],9
409,38,0.1,26,7,31,[48.8621, 2.34462],9
410,38,0.1,26,7,31,[48.8621, 2.34462],9
411,47,na,26,na,31,[48.8733, 2.32957],9
412,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
413,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
414,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
415,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
416,38,0.1,26,7,31,[48.8621, 2.34462],9
417,74,na,26,na,31,[48.8386, 2.41278],9
418,38,0.1,26,7,31,[48.8621, 2.34462],9
419,38,0.1,26,7,31,[48.8621, 2.34462],9
420,54,na,31,na,30,[43.62358041, 1.438546479],9
421,33,na,26,na,31,[48.8917, 2.34563],9
422,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
423,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
424,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
425,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
426,56,na,26,na,31,[48.8686, 2.31166],9
427,38,0.1,26,7,31,[48.8621, 2.34462],9
428,35,na,26,na,31,[48.9022, 2.3907],9
429,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
430,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
431,38,0.1,26,7,31,[48.8621, 2.34462],9
432,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
433,20,na,28,na,27,[48.8408, 2.4844],8
434,38,0.1,26,7,31,[48.8621, 2.34462],9
435,56,na,26,na,31,[48.8686, 2.31166],9
436,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
437,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
438,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
439,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
440,16,na,26,na,31,[48.8303, 2.26972],9
441,38,0.1,26,7,31,[48.8621, 2.34462],9
442,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
443,30,na,26,na,31,[48.8913, 2.24064],9
444,35,na,26,na,31,[48.9022, 2.3907],9
445,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
446,35,na,26,na,31,[48.9022, 2.3907],9
447,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
448,45,0.1,26,25.3,31,[48.856614, 2.3522219],9
449,91,0.1,29,13.3,38,[52.463611, 13.31825],11
450,91,0.1,29,13.3,38,[52.463611, 13.31825],11
451,89,na,29,na,38,[52.543041, 13.349326],11
452,89,na,29,na,38,[52.543041, 13.349326],11
453,78,0.1,29,7.4,38,[52.5200066, 13.404954],11
454,38,2.6,25,9.3,52,[51.49467, -0.131931],15
455,89,na,29,na,38,[52.543041, 13.349326],11
456,89,na,29,na,38,[52.543041, 13.349326],11
