,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
7992,Netherlands,Urk,26,Good,1,Good,26,Good,5,Good,25,Good,52.6667,5.6
8029,United Kingdom,Colwyn Bay,30,Good,1,Good,30,Good,3,Good,28,Good,53.29,-3.7
8073,United States of America,Winthrop,45,Good,1,Good,40,Good,1,Good,45,Good,42.3761,-70.9846
8094,Costa Rica,Alvarado,79,Moderate,1,Good,20,Good,1,Good,79,Moderate,18.7811,-95.7572
8095,Costa Rica,Alvarado,79,Moderate,1,Good,20,Good,1,Good,79,Moderate,4.5667,-74.95
8154,Italy,Martinsicuro,59,Moderate,2,Good,36,Good,8,Good,59,Moderate,42.8833,13.9167
8233,Italy,Gallipoli,47,Good,1,Good,45,Good,0,Good,47,Good,40.4139,26.6703
8234,Italy,Gallipoli,47,Good,1,Good,45,Good,0,Good,47,Good,40.0556,17.9917
8298,United States of America,Seal Beach,81,Moderate,2,Good,17,Good,23,Good,81,Moderate,33.7542,-118.0714
8473,Finland,Naantali,36,Good,1,Good,36,Good,0,Good,6,Good,60.4667,22.0333
8529,India,Benaulim,56,Moderate,1,Good,19,Good,1,Good,56,Moderate,15.27,73.9346
8946,Brazil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,3.2167,-51.2167
8947,Brazil,Vila Velha,57,Moderate,1,Good,15,Good,2,Good,57,Moderate,-20.3364,-40.2936
9005,Brazil,Ilhabela,65,Moderate,2,Good,10,Good,7,Good,65,Moderate,-23.7778,-45.3578
9028,Italy,Albenga,74,Moderate,1,Good,45,Good,1,Good,74,Moderate,44.05,8.2167
9104,Portugal,Funchal,35,Good,0,Good,35,Good,0,Good,17,Good,32.65,-16.9167
9129,South Africa,Durban,90,Moderate,3,Good,25,Good,4,Good,90,Moderate,-29.8833,31.05
9145,Brazil,Praia Grande,154,Unhealthy,4,Good,1,Good,21,Good,154,Unhealthy,-24.0061,-46.4028
9174,Kyrgyzstan,Os,29,Good,0,Good,29,Good,0,Good,14,Good,60.2269,5.4758
9262,United Kingdom,Llanelli,40,Good,1,Good,24,Good,2,Good,40,Good,51.684,-4.163
9265,United States of America,Long Beach,51,Moderate,1,Good,25,Good,12,Good,51,Moderate,33.7977,-118.167
9266,United States of America,Long Beach,51,Moderate,1,Good,25,Good,12,Good,51,Moderate,40.5887,-73.666
9267,United States of America,Long Beach,51,Moderate,1,Good,25,Good,12,Good,51,Moderate,30.3608,-89.1651
9322,Algeria,Tigzirt,50,Good,4,Good,41,Good,16,Good,50,Good,36.8931,4.1225
9332,Italy,Pozzallo,65,Moderate,1,Good,19,Good,7,Good,65,Moderate,36.7303,14.8467
9361,Malaysia,Sandakan,48,Good,1,Good,19,Good,0,Good,48,Good,5.8388,118.1173
9391,Portugal,Ponta Delgada,21,Good,0,Good,21,Good,2,Good,12,Good,37.74,-25.67
9499,Philippines,Tandag,38,Good,1,Good,19,Good,0,Good,38,Good,9.0789,126.1986
9555,Indonesia,Tual,18,Good,0,Good,18,Good,0,Good,15,Good,-5.6368,132.7508
9572,Italy,Taranto,47,Good,1,Good,47,Good,3,Good,46,Good,40.4711,17.2431
9728,Portugal,Albufeira,35,Good,0,Good,35,Good,2,Good,19,Good,37.0897,-8.2458
9732,Indonesia,Amahai,16,Good,0,Good,16,Good,0,Good,7,Good,-3.3331,128.919
9740,France,Arcachon,50,Good,1,Good,31,Good,1,Good,50,Good,44.6586,-1.1689
9981,Zimbabwe,Workington,75,Moderate,0,Good,33,Good,0,Good,75,Moderate,54.6365,-3.5549
10016,New Zealand,Napier,27,Good,0,Good,27,Good,0,Good,15,Good,-39.4903,176.9178
10146,United States of America,Edgewood,49,Good,1,Good,34,Good,4,Good,49,Good,39.419,-76.2964
10147,United States of America,Edgewood,49,Good,1,Good,34,Good,4,Good,49,Good,47.2309,-122.2832
10178,Norway,Narvik,29,Good,1,Good,29,Good,0,Good,6,Good,68.4363,17.3983
10241,France,Mamoudzou,25,Good,0,Good,25,Good,0,Good,15,Good,-12.7794,45.2272
10348,Japan,Kishiwada,75,Moderate,2,Good,26,Good,11,Good,75,Moderate,34.4667,135.3667
10451,United States of America,Bremerton,41,Good,1,Good,27,Good,6,Good,41,Good,47.5436,-122.7121
10467,Argentina,Carpinteria,50,Good,1,Good,22,Good,7,Good,50,Good,34.3962,-119.5118
10477,Brazil,Abaetetuba,36,Good,0,Good,17,Good,0,Good,36,Good,-1.7178,-48.8828
10528,Philippines,Palompon,47,Good,1,Good,23,Good,0,Good,47,Good,11.05,124.3833
10626,Mexico,Coatzacoalcos,111,Unhealthy for Sensitive Groups,1,Good,17,Good,2,Good,111,Unhealthy for Sensitive Groups,18.15,-94.4333
10650,Brazil,Guaratuba,45,Good,1,Good,17,Good,3,Good,45,Good,-25.8828,-48.575
10720,Italy,Lipari,50,Good,1,Good,39,Good,1,Good,50,Good,38.4667,14.95
10832,United States of America,Benicia,37,Good,1,Good,31,Good,8,Good,37,Good,38.0725,-122.1526
10983,Italy,Trapani,58,Moderate,1,Good,47,Good,0,Good,58,Moderate,38.0175,12.515
11009,India,Kavaratti,58,Moderate,0,Good,20,Good,0,Good,58,Moderate,10.5626,72.6369
11020,India,Navelim,83,Moderate,0,Good,24,Good,0,Good,83,Moderate,15.2428,73.9331
11078,United States of America,Ocean City,71,Moderate,1,Good,40,Good,4,Good,71,Moderate,39.2681,-74.602
11147,United Kingdom,Iona,42,Good,1,Good,28,Good,4,Good,42,Good,26.516,-81.9601
11261,United States of America,Isabela,23,Good,1,Good,14,Good,0,Good,23,Good,10.2,122.9833
11262,United States of America,Isabela,23,Good,1,Good,14,Good,0,Good,23,Good,18.4991,-67.022
11291,Brazil,Matinhos,46,Good,1,Good,6,Good,3,Good,46,Good,-25.8178,-48.5428
11343,Italy,Porto San Giorgio,51,Moderate,2,Good,34,Good,8,Good,51,Moderate,43.1833,13.8
11393,Guinea,Conakry,33,Good,1,Good,25,Good,0,Good,33,Good,9.5092,-13.7122
11503,Italy,Chioggia,69,Moderate,1,Good,44,Good,1,Good,69,Moderate,45.2196,12.2789
11556,Italy,Portoferraio,50,Good,1,Good,45,Good,0,Good,50,Good,42.8167,10.3167
11562,Japan,Matsuura,44,Good,1,Good,44,Good,0,Good,34,Good,33.3333,129.7167
11592,United Kingdom,Rhyl,36,Good,0,Good,29,Good,1,Good,36,Good,53.321,-3.48
11618,Norway,Alta,29,Good,1,Good,29,Good,0,Good,9,Good,69.9689,23.2716
11659,United States of America,Half Moon Bay,52,Moderate,1,Good,33,Good,5,Good,52,Moderate,37.4685,-122.4382
11662,France,Hendaye,53,Moderate,2,Good,25,Good,3,Good,53,Moderate,43.3586,-1.7744
11798,United Kingdom,Cleethorpes,46,Good,1,Good,37,Good,1,Good,46,Good,53.5533,-0.0215
11816,Malaysia,Kota Kinabalu,47,Good,2,Good,14,Good,3,Good,47,Good,5.975,116.0725
11847,Antigua and Barbuda,Obama,77,Moderate,2,Good,21,Good,11,Good,77,Moderate,35.4957,135.7466
11850,Thailand,Pattani,96,Moderate,1,Good,29,Good,1,Good,96,Moderate,6.8664,101.2508
11884,Italy,Porto Torres,48,Good,1,Good,48,Good,0,Good,27,Good,40.8369,8.4014
11963,Australia,Exmouth,37,Good,1,Good,29,Good,1,Good,37,Good,50.62,-3.413
11964,Australia,Exmouth,37,Good,1,Good,29,Good,1,Good,37,Good,-21.9331,114.1281
11969,Italy,Gaeta,77,Moderate,1,Good,77,Moderate,0,Good,40,Good,41.2167,13.5667
12021,Cuba,Nuevitas,62,Moderate,1,Good,28,Good,0,Good,62,Moderate,21.5403,-77.2644
12114,France,La Ciotat,31,Good,1,Good,31,Good,7,Good,25,Good,43.1769,5.6086
12189,Norway,Harstad,28,Good,1,Good,28,Good,0,Good,8,Good,68.8011,16.5441
12319,United States of America,Swampscott,29,Good,1,Good,27,Good,6,Good,29,Good,42.4757,-70.9068
12331,Norway,Stavanger,29,Good,0,Good,29,Good,0,Good,14,Good,58.97,5.7314
12422,Norway,Nesoddtangen,43,Good,1,Good,43,Good,0,Good,14,Good,59.8086,10.6556
12501,Brazil,Iguape,76,Moderate,4,Good,6,Good,3,Good,76,Moderate,-24.7081,-47.5553
12601,Philippines,Puerto Princesa,25,Good,1,Good,23,Good,0,Good,25,Good,9.75,118.75
12692,United States of America,Montrose,32,Good,0,Good,32,Good,1,Good,20,Good,38.4689,-107.859
12693,United States of America,Montrose,32,Good,0,Good,32,Good,1,Good,20,Good,56.708,-2.467
12695,France,Le Pradet,60,Moderate,1,Good,30,Good,6,Good,60,Moderate,43.1056,6.0233
12704,Colombia,Malibu,42,Good,2,Good,42,Good,6,Good,28,Good,34.037,-118.7839
12734,Italy,Ficarazzi,40,Good,1,Good,40,Good,2,Good,30,Good,38.0833,13.4667
12799,United Kingdom,Bognor Regis,51,Moderate,1,Good,24,Good,8,Good,51,Moderate,50.7824,-0.6764
12828,Indonesia,Probolinggo,75,Moderate,1,Good,42,Good,1,Good,75,Moderate,-7.75,113.2167
12853,Croatia,Rovinj,54,Moderate,1,Good,38,Good,2,Good,54,Moderate,45.0833,13.6333
12862,Kenya,Lamu,21,Good,0,Good,21,Good,0,Good,16,Good,-2.2694,40.9022
13037,Philippines,Sitangkai,36,Good,1,Good,14,Good,0,Good,36,Good,4.6615,119.3919
13142,Indonesia,Kupang,64,Moderate,1,Good,24,Good,0,Good,64,Moderate,-10.1702,123.6077
13226,United States of America,Marina,37,Good,1,Good,37,Good,3,Good,27,Good,36.681,-121.7892
13290,Norway,Kristiansund,29,Good,1,Good,29,Good,0,Good,11,Good,63.1104,7.7279
13387,Pakistan,Gwadar,153,Unhealthy,1,Good,38,Good,0,Good,153,Unhealthy,25.1264,62.3225
13409,Faroe Islands,Leirvik,31,Good,0,Good,31,Good,0,Good,15,Good,59.7798,5.5005
13631,Italy,Terracina,47,Good,1,Good,47,Good,1,Good,33,Good,41.2833,13.25
13652,Italy,Santa Margherita Ligure,51,Moderate,1,Good,37,Good,2,Good,51,Moderate,44.3333,9.2167
13663,Indonesia,Sorong,15,Good,0,Good,15,Good,0,Good,12,Good,-0.8667,131.25
13694,United States of America,Weymouth,36,Good,0,Good,29,Good,1,Good,36,Good,50.613,-2.457
13695,United States of America,Weymouth,36,Good,0,Good,29,Good,1,Good,36,Good,42.1981,-70.9466
13746,United Kingdom,Worthing,54,Moderate,0,Good,36,Good,2,Good,54,Moderate,50.8147,-0.3714
13804,The Bahamas,Nassau,32,Good,0,Good,32,Good,0,Good,7,Good,25.0781,-77.3386
13848,United Kingdom,Troon,38,Good,1,Good,37,Good,0,Good,38,Good,55.54,-4.66
13863,Russia,Svetlyy,35,Good,1,Good,35,Good,0,Good,21,Good,54.6667,20.1333
13914,Italy,La Maddalena,39,Good,1,Good,30,Good,3,Good,39,Good,41.2167,9.4
13925,United States of America,Corpus Christi,40,Good,0,Good,27,Good,0,Good,40,Good,27.7254,-97.3767
14038,Sweden,Karlskrona,35,Good,0,Good,35,Good,0,Good,23,Good,56.1608,15.5861
14100,United Kingdom,Folkestone,50,Good,0,Good,36,Good,1,Good,50,Good,51.081,1.166
14201,Italy,Milazzo,63,Moderate,1,Good,48,Good,0,Good,63,Moderate,38.217,15.237
14258,Japan,Ishikari,26,Good,1,Good,26,Good,3,Good,21,Good,43.1667,141.3167
14259,United States of America,Isla Vista,39,Good,2,Good,33,Good,8,Good,39,Good,34.4128,-119.8614
14306,Papua New Guinea,Wewak,14,Good,0,Good,14,Good,0,Good,9,Good,-3.55,143.6333
14310,Sweden,Ystad,37,Good,1,Good,37,Good,1,Good,30,Good,55.4167,13.8333
14352,United Kingdom,Birkenhead,34,Good,1,Good,34,Good,4,Good,22,Good,53.393,-3.014
14375,Ecuador,Muisne,26,Good,1,Good,20,Good,0,Good,26,Good,0.6108,-80.0186
14464,Italy,Viareggio,56,Moderate,1,Good,44,Good,1,Good,56,Moderate,43.8672,10.2506
14551,Turkey,Mersin,46,Good,1,Good,38,Good,0,Good,46,Good,36.8,34.6333
14577,United States of America,Grover Beach,41,Good,1,Good,21,Good,5,Good,41,Good,35.1204,-120.6197
14730,Denmark,Copenhagen,36,Good,1,Good,31,Good,3,Good,36,Good,55.6761,12.5683
14799,Italy,Bacoli,47,Good,1,Good,47,Good,2,Good,40,Good,40.8,14.0833
14814,France,La Rochelle,36,Good,1,Good,36,Good,1,Good,16,Good,46.16,-1.15
14837,Australia,Port Lincoln,25,Good,0,Good,25,Good,0,Good,2,Good,-34.7322,135.8586
14897,Samoa,Apia,17,Good,0,Good,17,Good,0,Good,10,Good,-13.8333,-171.75
14916,Spain,Salou,83,Moderate,1,Good,29,Good,2,Good,83,Moderate,41.0796,1.1316
14968,Italy,Caorle,49,Good,1,Good,49,Good,1,Good,48,Good,45.6,12.8833
15003,Italy,Imperia,53,Moderate,1,Good,39,Good,2,Good,53,Moderate,43.8833,8.0333
15037,Japan,Yokosuka,69,Moderate,1,Good,69,Moderate,2,Good,45,Good,35.25,139.6667
15299,Japan,Otaru,33,Good,1,Good,33,Good,0,Good,17,Good,43.1907,140.9944
15300,Malaysia,Tawau,26,Good,1,Good,9,Good,1,Good,26,Good,4.2448,117.8911
15370,Malaysia,Labuan,25,Good,2,Good,25,Good,0,Good,18,Good,5.3,115.22
15469,Papua New Guinea,Madang,14,Good,0,Good,13,Good,0,Good,14,Good,-5.2167,145.8
15521,Philippines,Kalamansig,45,Good,1,Good,25,Good,0,Good,45,Good,6.5667,124.05
15555,United States of America,Valdez,22,Good,1,Good,22,Good,0,Good,22,Good,1.25,-79.0
15809,India,Diu,128,Unhealthy for Sensitive Groups,0,Good,29,Good,0,Good,128,Unhealthy for Sensitive Groups,20.715,70.9844
15812,Italy,Formia,47,Good,1,Good,47,Good,0,Good,32,Good,41.2667,13.6167
15858,United States of America,Safety Harbor,88,Moderate,1,Good,88,Moderate,1,Good,14,Good,28.008,-82.6964
15874,Italy,Ischia,56,Moderate,1,Good,56,Moderate,0,Good,38,Good,40.75,13.95
15877,United States of America,Key West,28,Good,0,Good,27,Good,0,Good,28,Good,24.5642,-81.7775
15920,Italy,Bagheria,81,Moderate,1,Good,46,Good,0,Good,81,Moderate,38.0833,13.5
15964,United Kingdom,Teignmouth,37,Good,1,Good,29,Good,1,Good,37,Good,50.5515,-3.4886
15967,United Kingdom,Torquay,36,Good,1,Good,30,Good,1,Good,36,Good,50.47,-3.53
15968,United Kingdom,Torquay,36,Good,1,Good,30,Good,1,Good,36,Good,-38.3333,144.3167
16055,United States of America,Key Biscayne,60,Moderate,1,Good,17,Good,10,Good,60,Moderate,25.6908,-80.1653
16135,Portugal,Peniche,30,Good,1,Good,30,Good,3,Good,19,Good,39.35,-9.3667
16209,Cuba,Manzanillo,29,Good,1,Good,20,Good,1,Good,29,Good,19.0522,-104.3158
16210,Cuba,Manzanillo,29,Good,1,Good,20,Good,1,Good,29,Good,20.3397,-77.1086
16265,Italy,Forio,51,Moderate,1,Good,51,Moderate,1,Good,20,Good,40.7333,13.85
16266,United States of America,Tiverton,32,Good,1,Good,24,Good,7,Good,32,Good,50.903,-3.488
16267,United States of America,Tiverton,32,Good,1,Good,24,Good,7,Good,32,Good,41.609,-71.1741
16279,Italy,Sorrento,61,Moderate,1,Good,45,Good,3,Good,61,Moderate,40.6278,14.3736
16456,Indonesia,Bima,25,Good,1,Good,25,Good,0,Good,24,Good,-8.46,118.7267
16594,Brazil,Marapanim,25,Good,1,Good,15,Good,0,Good,25,Good,-0.7139,-47.6939
16618,Chile,Calbuco,36,Good,1,Good,15,Good,3,Good,36,Good,-41.7667,-73.1333
