Country,City
France,Granville
Saint Vincent and the Grenadines,Kingstown
United States of America,Nanakuli
Italy,Lavagna
Italy,Ladispoli
Italy,Nettuno
Colombia,Puebloviejo
Italy,Fiumicino
,Carteret
Italy,Ercolano
Guinea-Bissau,Bolama
Australia,Broome
United States of America,Prince Rupert
Dominica,Roseau
Australia,Ardrossan
Sweden,Stockholm
Philippines,Tacloban
Japan,Tadotsu
Indonesia,Ternate
Indonesia,Ternate
United Kingdom,Broadstairs
Italy,Piombino
Bulgaria,Pomorie
Spain,Puerto Real
United Kingdom,Rottingdean
Japan,Sakaiminato
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
Costa Rica,San Jose
,Savona
Portugal,Sines
United States of America,Keansburg
United States of America,Juneau
Spain,Santa Pola
Turkey,Sinop
Turkey,Sinop
Japan,Futtsu
Philippines,Gingoog
Indonesia,Balikpapan
Australia,Gold Coast
Sri Lanka,Hambantota
Mexico,Isla Mujeres
Italy,Santa Flavia
Italy,Crotone
Italy,Vieste
,Moche
Japan,Namerikawa
France,Menton
Tanzania,Zanzibar
Comoros,Domoni
United States of America,Anacortes
The Gambia,Banjul
United States of America,New York
Spain,Alcudia
United States of America,Titusville
Japan,Togitsu
France,Dinard
,Split
Philippines,Pulupandan
Philippines,Pambujan
Mozambique,Maxixe
Australia,Runcorn
Guinea-Bissau,Bissau
,Sitrah
Japan,Kochi
Denmark,Frederikshavn
United States of America,Miami Beach
United States of America,Newport News
Japan,Nanao
Equatorial Guinea,Bata
Spain,Benidorm
,Ancona
Italy,Termini Imerese
United States of America,Fort Myers
Italy,Anzio
Philippines,Iloilo
United States of America,Marathon
France,Martigues
United States of America,Campbellton
Portugal,Almada
France,Antibes
Brazil,Antonina
Thailand,Si Racha
Italy,Sestri Levante
,North Myrtle Beach
Indonesia,Meulaboh
Japan,Kaizuka
Portugal,Barreiro
Papua New Guinea,Kavieng
Sweden,Landskrona
United Kingdom,Hull
,Danao
,Danao
Japan,Hakodate
Russia,Pionerskiy
United States of America,Jensen Beach
Italy,Ortona
Senegal,Goudomp
Papua New Guinea,Daru
United Kingdom,Wallasey
Malaysia,Putatan
Indonesia,Bontang
Ghana,Winneba
Italy,Arenzano
Dominican Republic,Nagua
Italy,Vico Equense
Australia,Ilfracombe
Australia,Bunbury
Republic of Ireland,Wexford
"Brazil, {label_en: {xml:lang: en, type: literal, Brazil",Mangaratiba
United States of America,Marblehead
Italy,Ventimiglia
Spain,Torrevieja
Croatia,Trogir
Chile,Taltal
Syria,Jablah
United Kingdom,Great Yarmouth
Brazil,Itaparica
United States of America,Eureka
United States of America,Eureka
Nigeria,Lagos
Nigeria,Lagos
Italy,Procida
Australia,Mandurah
Brazil,Cabedelo
Brazil,Almeirim
Brazil,Almeirim
United States of America,Biloxi
Myanmar,Mawlamyine
Tanzania,Mtwara
Vanuatu,Luganville
France,La Porte
France,La Porte
Mexico,Puerto Vallarta
Australia,Port Hedland
United States of America,Dana Point
Thailand,Don Sak
Finland,Hamina
Dominican Republic,Puerto Plata
,Ramsgate
Spain,Rianxo
Netherlands,Urk
United Kingdom,Colwyn Bay
United States of America,Winthrop
Costa Rica,Alvarado
Costa Rica,Alvarado
Italy,Martinsicuro
,Gallipoli
,Gallipoli
United States of America,Seal Beach
,Naantali
India,Benaulim
Brazil,Vila Velha
Brazil,Vila Velha
Brazil,Ilhabela
Italy,Albenga
Portugal,Funchal
South Africa,Durban
Brazil,Praia Grande
Kyrgyzstan,Os
United Kingdom,Llanelli
United States of America,Long Beach
United States of America,Long Beach
United States of America,Long Beach
Algeria,Tigzirt
Italy,Pozzallo
Malaysia,Sandakan
Portugal,Ponta Delgada
Philippines,Tandag
Indonesia,Tual
Italy,Taranto
Portugal,Albufeira
Indonesia,Amahai
France,Arcachon
Zimbabwe,Workington
,Napier
United States of America,Edgewood
United States of America,Edgewood
Norway,Narvik
France,Mamoudzou
Japan,Kishiwada
United States of America,Bremerton
Argentina,Carpinteria
Brazil,Abaetetuba
Philippines,Palompon
Mexico,Coatzacoalcos
Brazil,Guaratuba
Italy,Lipari
United States of America,Benicia
Italy,Trapani
India,Kavaratti
India,Navelim
United States of America,Ocean City
United Kingdom,Iona
United States of America,Isabela
United States of America,Isabela
,Matinhos
Italy,Porto San Giorgio
Guinea,Conakry
Italy,Chioggia
Italy,Portoferraio
Japan,Matsuura
United Kingdom,Rhyl
Norway,Alta
,Half Moon Bay
France,Hendaye
United Kingdom,Cleethorpes
Malaysia,Kota Kinabalu
Antigua and Barbuda,Obama
Thailand,Pattani
Italy,Porto Torres
Australia,Exmouth
Australia,Exmouth
Italy,Gaeta
Cuba,Nuevitas
France,La Ciotat
Norway,Harstad
United States of America,Swampscott
Norway,Stavanger
Norway,Nesoddtangen
Brazil,Iguape
Philippines,Puerto Princesa
United States of America,Montrose
United States of America,Montrose
France,Le Pradet
Colombia,Malibu
Italy,Ficarazzi
United Kingdom,Bognor Regis
Indonesia,Probolinggo
Croatia,Rovinj
,Lamu
Philippines,Sitangkai
Indonesia,Kupang
,Marina
Norway,Kristiansund
Pakistan,Gwadar
Faroe Islands,Leirvik
Italy,Terracina
Italy,Santa Margherita Ligure
Indonesia,Sorong
United States of America,Weymouth
United States of America,Weymouth
United Kingdom,Worthing
The Bahamas,Nassau
United Kingdom,Troon
Russia,Svetlyy
,La Maddalena
United States of America,Corpus Christi
Sweden,Karlskrona
United Kingdom,Folkestone
Italy,Milazzo
Japan,Ishikari
,Isla Vista
Papua New Guinea,Wewak
Sweden,Ystad
,Birkenhead
Ecuador,Muisne
Italy,Viareggio
Turkey,Mersin
United States of America,Grover Beach
Denmark,Copenhagen
Italy,Bacoli
France,La Rochelle
Australia,Port Lincoln
Samoa,Apia
Spain,Salou
Italy,Caorle
Italy,Imperia
Japan,Yokosuka
Japan,Otaru
Malaysia,Tawau
Malaysia,Labuan
Papua New Guinea,Madang
Philippines,Kalamansig
United States of America,Valdez
India,Diu
Italy,Formia
United States of America,Safety Harbor
Italy,Ischia
,Key West
Italy,Bagheria
United Kingdom,Teignmouth
United Kingdom,Torquay
United Kingdom,Torquay
United States of America,Key Biscayne
Portugal,Peniche
Cuba,Manzanillo
Cuba,Manzanillo
Italy,Forio
United States of America,Tiverton
United States of America,Tiverton
Italy,Sorrento
Indonesia,Bima
Brazil,Marapanim
Chile,Calbuco
